event_id,avg_bbox_size,step_count
100_2024-07-04_in_13,1192.1714285714286,35
100_2024-06-27_out_18,1356.051282051282,39
100_2024-06-27_in_21,1630.4761904761904,21
100_2024-06-20_in_18,1364.9130434782608,23
100_2024-06-18_in_17,2478.4285714285716,7
100_2024-06-06_in_21,1760.0,8
100_2024-06-06_in_22,1374.6363636363637,33
100_2024-04-19_out_12,1412.6,5
100_2024-04-19_out_13,1645.6842105263158,19
100_2024-04-18_out_22,1539.5,10
100_2023-12-06_out_7,1708.4,5
100_2023-12-06_in_5,2188.1428571428573,7
100_2023-12-01_out_17,1733.1,10
100_2023-12-01_in_13,2132.4285714285716,7
100_2023-11-30_out_12,1676.8,20
100_2023-11-30_out_13,1610.0625,16
100_2023-11-30_in_14,1318.5555555555557,9
100_2023-11-30_in_15,2006.3076923076924,26
100_2023-11-30_in_16,1366.032258064516,31
100_2023-11-29_out_12,1554.6,5
100_2023-11-29_in_12,1634.125,8
100_2023-11-28_out_13,1605.5,6
100_2023-11-28_in_7,1575.0,9
100_2023-11-25_out_4,1910.5,18
100_2023-11-25_out_5,1714.6666666666667,3
100_2023-11-25_in_4,1541.3,10
100_2023-11-25_in_5,1425.25,20
100_2023-11-24_out_9,1561.75,12
100_2023-11-24_in_10,1788.0,7
100_2023-11-23_out_19,2022.7,20
100_2023-11-23_out_20,1594.4,5
100_2023-11-23_out_21,1253.4285714285713,7
100_2023-11-23_in_15,1917.857142857143,7
100_2023-11-23_in_16,1655.5,14
100_2023-11-22_out_19,1583.4,5
100_2023-11-22_in_17,1988.5714285714287,7
100_2023-11-21_out_8,1630.1666666666667,6
100_2023-11-21_in_7,1742.9375,16
100_2023-11-18_out_12,1472.5454545454545,22
100_2023-11-18_out_13,623.3333333333334,9
100_2023-11-18_in_10,1332.2105263157894,19
100_2023-11-18_in_9,1576.2857142857142,7
100_2023-11-16_out_22,1899.24,25
100_2023-11-16_in_20,1410.090909090909,11
100_2023-11-16_in_21,1444.4666666666667,15
100_2023-11-15_out_6,1811.2222222222222,9
100_2023-11-15_in_7,1739.2857142857142,7
100_2023-11-14_in_4,1671.5714285714287,7
100_2023-11-11_out_13,1365.6470588235295,34
100_2023-11-11_out_14,1901.6,5
100_2023-11-11_in_11,1513.142857142857,7
100_2023-11-11_in_12,1535.5294117647059,17
100_2023-11-10_out_17,1682.6,5
100_2023-11-10_in_11,1578.5,8
100_2023-11-09_out_12,1576.8461538461538,26
100_2023-11-09_out_13,1870.2,10
100_2023-11-09_in_12,1705.375,8
100_2023-11-09_in_13,1575.0,24
100_2023-11-08_in_5,2039.4285714285713,7
100_2023-11-07_out_8,1427.5,6
100_2023-11-07_in_10,1721.125,8
100_2023-11-04_out_10,1792.1666666666667,6
100_2023-11-04_out_11,1994.2,5
100_2023-11-04_in_6,1743.157894736842,38
100_2023-11-03_in_4,2008.5714285714287,7
100_2023-11-02_out_16,1496.5,12
100_2023-11-02_out_17,1680.6,5
100_2023-11-02_in_16,1493.25,8
100_2023-11-02_in_17,1343.3181818181818,22
100_2023-11-01_in_10,1574.125,8
100_2023-10-31_out_12,1689.0,5
100_2023-10-31_in_16,1329.625,8
100_2023-10-31_in_17,1345.857142857143,14
100_2023-10-26_out_29,1935.2,15
100_2023-10-26_out_30,1693.6,5
100_2023-10-26_in_26,726.2727272727273,11
100_2023-10-26_in_27,1441.0,9
100_2023-10-25_out_20,1410.0,5
100_2023-10-25_in_19,1405.0,7
100_2023-10-24_out_17,1541.090909090909,11
100_2023-10-24_in_17,1396.625,8
100_2023-10-12_out_21,1271.0,1
100_2023-10-12_in_19,1091.6666666666667,3
100_2023-10-12_in_20,1065.5714285714287,14
100_2023-10-07_out_11,644.2,10
100_2023-10-07_in_10,950.2,10
100_2023-10-06_out_16,715.5,10
100_2023-10-06_in_17,1742.142857142857,7
100_2023-10-05_out_10,1855.5384615384614,13
100_2023-10-05_out_11,825.4444444444445,9
100_2023-10-05_in_11,1807.625,8
100_2023-10-05_in_12,1290.2941176470588,17
100_2023-10-04_out_17,763.0,9
100_2023-10-04_in_19,1253.9166666666667,12
100_2023-09-30_out_18,1663.6363636363637,11
100_2023-09-30_out_19,1618.5625,16
100_2023-09-30_in_16,1479.125,8
100_2023-09-30_in_17,1556.52,25
100_2023-09-29_out_25,626.9166666666666,12
100_2023-09-29_in_22,1567.0,8
100_2023-09-28_out_20,1383.9032258064517,31
100_2023-09-28_in_18,1330.75,8
100_2023-09-27_in_23,2082.0,8
100_2023-09-26_out_18,1692.8,10
100_2023-09-26_in_17,1508.888888888889,9
100_2023-09-15_in_7,1363.5,4
